Discovery Date,File Name,IP Address,ASN,ASN Name,MD5
2012-12-23,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia07.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,3dbcd7ae7ca08ff8ebafbb1cece9bbdd
2012-12-23,,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,08561b0de8f81afd53ca6581bb42acbc
2012-12-23,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia08.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,9eb9951472953b475de786377f5697a3
2012-12-23,ld.download-guru.com/index.html?s=3d3d3dwgaremover,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,45d12b13cf98259a894deecea783b5c0
2012-12-23,absolutefitnessuk.co.uk/wp-content/uploads/mine.exe,91{.}103{.}216{.}39,GB,29550,SIMPLYTRANSIT Simply Transit Ltd,357598eab681686e2a5d7d0bb4875e8d
2012-12-23,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia09.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,fc531874e4a68a1d88e8e6bf483b1c42
2012-12-23,ld.download-guru.com/index.html?s=Majoe &&amp%2F%2F%2F,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,8c0decf90c945da2bd388eeceefb5fd4
2012-12-23,aigen.com.br/itzpFNPM/i9qC.exe,186{.}202{.}153{.}10,BR,27715,LocaWeb Ltda,bf8b0bc0c8e1db52d94719fb01db1765
2012-12-23,whitehat.su/17.exe,94{.}102{.}55{.}2,NL,29073,"ECATEL-AS AS29073, Ecatel Network",23775b370310d62a77ce7f95bf82f7ac
2012-12-23,,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,4cbda1aec249091619be955840287b54
2012-12-23,bcbbikeshow.org.uk/4EM0F6.exe,193{.}202{.}110{.}199,DK,51468,ONECOM One.com A/S,dd61a3978a3453f3acff2ba4314220a4
2012-12-23,whitehat.su/test.exe,94{.}102{.}55{.}2,NL,29073,"ECATEL-AS AS29073, Ecatel Network",5efeff947b18f43c3906eb8bb8cb2498
2012-12-23,ld2.download-guru.com/index.php?s=K-LiteCodecPackStandard,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,bd4cbf11f33381f20dde3bf84f2dae3b
2012-12-23,,23{.}23{.}130{.}85,US,14618,"AMAZON-AES - Amazon.com, Inc.",6f2a4861fbac3a4035ed7cc2d02b0657
2012-12-23,,208{.}93{.}141{.}190,US,46281,COTEN-ASN - Cotendo Inc.,915179a9bbdc7b3c6ba3533c4ae9c434
2012-12-23,whitehat.su/bear.exe,94{.}102{.}55{.}2,NL,29073,"ECATEL-AS AS29073, Ecatel Network",7ab7c5edc396e3d40988bb55ea37e9a1
2012-12-23,,46{.}108{.}156{.}3,RO,56465,SSNET S.C. SISTEM SOFT NETWORK S.R.L.,e4c5647620645a769a9286d24931931b
2012-12-23,dlfr.pctuto.com/download/pctuto_1011.exe,46{.}105{.}174{.}27,FR,16276,OVH OVH Systems,3c07d4db52e25e7fb66f7314650bfda7
2012-12-23,whitehat.su/27.exe,94{.}102{.}55{.}2,NL,29073,"ECATEL-AS AS29073, Ecatel Network",a93e5d609cd7e9c5306e4ab229ee79ce
